CADD_v1.5	SQUIRLS	MaxEntScan	SpliceAI	CI-SpliceAI	Pangolin	SPiP	label
1.7142	0.01	6.923	0.01	0.0	0.0	0.0	0.0
0.6662	0.0084	0.665	0.08	0.01	0.10000000149011612	0.0	0.0
0.2739	0.01	0.166	0.0	0.0	0.0	0.0	0.0
0.376	0.0085	1.526	0.0	0.0	0.0	0.0	0.0
0.0173	0.0084	0.032	0.0	0.0	0.0	0.0	0.0
0.0713	0.01	0.946	0.0	0.0	0.0	0.0	0.0
0.6165	0.0084	1.232	0.0	0.0	0.0	0.0	0.0
0.3767	0.0084	8.182	0.0	0.0	0.0	0.0	0.0
0.8194	0.011	1.243	0.0	0.0	0.0	0.0	0.0
0.2078	0.0084	4.007	0.01	0.0	0.009999999776482582	0.0	0.0
1.2002	0.01	8.75	0.02	0.0	0.0	0.0	0.0
0.5501	0.0084	0.214	0.0	0.0	0.0	0.0	0.0
1.6596	0.0089	0.534	0.0	0.0	0.0	0.0	0.0
0.0752	0.0084	0.293	0.0	0.0	0.0	0.0	0.0
1.1026	0.0094	2.443	0.0	0.0	0.0	0.0	0.0
2.6899	0.608	0.611	0.0	0.0	0.009999999776482582	0.0	0.0
2.5881	0.031	0.043	0.0	0.0	0.0	0.0	0.0
0.2285	0.0084	0.44	0.0	0.0	0.0	0.002	0.0
0.6921	0.0085	9.012	0.0	0.0	0.0	0.0	0.0
0.8132	0.013	2.387	0.0	0.0	0.0	0.002	0.0
1.2752	0.012	7.955	0.0	0.0	0.0	0.0	0.0
0.2362	0.0084	1.746	0.0	0.0	0.0	0.0	0.0
0.0958	0.011	1.492	0.01	0.0	0.0	0.0	0.0
0.7296	0.0084	3.177	0.01	0.0	0.019999999552965164	0.0	0.0
1.1963	0.013	7.955	0.0	0.0	0.0	0.0	0.0
0.1364	0.01	1.574	0.0	0.0	0.0	0.0	0.0
0.6698	0.0062	1.46	0.0	0.0	0.0	0.0	0.0
0.0898	0.0084	17.143	0.0	0.0	0.0	0.0	0.0
0.0828	0.0061	0.558	0.0	0.0	0.0	0.0	0.0
0.2354	0.0061	0.386	0.0	0.0	0.0	0.0	0.0
0.4371	0.0061	4.083	0.0	0.0	0.0	0.0	1.0
0.426	0.029	0.327	0.52	0.19	0.4099999964237213	0.112	1.0
0.0068	0.059	0.51	0.52	0.69	0.6899999976158142	0.026	1.0
0.0794	0.063	0.764	0.27	0.05	0.23999999463558197	0.016	1.0
0.7278	0.0091	5.25	0.15	0.11	0.38999998569488525	0.004	1.0
2.6082	0.052	5.744	0.61	0.01	0.5199999809265137	0.21	1.0
3.7365	0.122	0.144	0.85	0.02	0.6899999976158142	0.174	1.0
2.7629	0.0079	1.9	0.48	0.16	0.4000000059604645	0.114	1.0
0.9011	0.0074	0.609	0.5	0.36	0.4099999964237213	0.0	1.0
0.117	0.0074	1.019	0.31	0.42	0.28999999165534973	0.0	1.0
0.0794	0.0073	0.054	0.01	0.0	0.0	0.002	1.0
0.4665	0.0072	0.822	0.04	0.12	0.009999999776482582	0.0	1.0
0.2288	0.017	0.441	0.39	0.2	0.36000001430511475	0.058	1.0
0.6041	0.045	1.727	0.28	0.13	0.28999999165534973	0.104	1.0
0.6148	0.0063	1.043	0.0	0.0	0.0	0.0	1.0
3.3989	0.105	0.52	0.91	0.6	0.7400000095367432	0.536	1.0
1.8752	0.012	1.824	0.54	0.01	0.3199999928474426	0.016	1.0
0.0859	0.006	0.605	0.02	0.0	0.0	0.0	1.0
1.1663	0.042	8.367	0.56	0.04	0.23000000417232513	0.124	1.0
0.9114	0.029	0.484	0.96	0.98	0.7599999904632568	0.146	1.0
0.0821	0.0089	1.042	0.0	0.0	0.0	0.0	1.0
0.2356	0.0072	7.955	0.0	0.0	0.0	0.01	1.0
0.2551	0.0085	1.394	0.0	0.0	0.0	0.018	1.0
4.1684	0.012	0.852	0.91	0.91	0.8199999928474426	0.04	1.0
0.1903	0.0072	0.698	0.0	0.0	0.0	0.0	1.0
1.106	0.121	0.086	0.69	0.5	0.3700000047683716	0.03	1.0
1.0512	0.285	1.259	0.69	0.14	0.6800000071525574	0.08	1.0
0.2346	0.137	0.471	0.28	0.01	0.15000000596046448	0.0	1.0
1.8455	0.0073	2.403	0.0	0.0	0.019999999552965164	0.0	1.0
2.2923	0.277	0.76	0.62	0.77	0.5699999928474426	0.054	1.0
0.2682	0.0088	0.78	0.0	0.0	0.0	0.0	1.0
0.339	0.0076	7.317	0.06	0.12	0.07000000029802322	0.052	1.0
3.32	0.01	1.729	0.65	0.3	0.5400000214576721	0.0	1.0
0.893	0.0098	1.85	0.23	0.02	0.17000000178813934	0.0	1.0
5.3653	0.01	1.004	0.69	0.84	0.550000011920929	0.002	1.0
0.2578	0.0061	0.665	0.08	0.03	0.09000000357627869	0.0	1.0
0.1115	0.0061	3.436	0.3	0.33	0.41999998688697815	0.06	1.0
0.4538	0.0069	2.72	0.0	0.0	0.0	0.0	1.0
2.8863	0.249	0.57	0.98	0.9	0.800000011920929	0.462	1.0
0.7429	0.017	3.742	0.31	0.09	0.4300000071525574	0.006	1.0
0.9175	0.0061	0.059	0.01	0.0	0.0	0.0	1.0
1.3279	0.007	0.444	0.01	0.0	0.0	0.0	1.0
1.2258	0.015	2.297	0.38	0.12	0.6800000071525574	0.0	1.0
0.5221	0.0084	4.211	0.0	0.0	0.0	0.0	1.0
0.9285	0.012	0.682	0.0	0.0	0.019999999552965164	0.0	1.0
0.1504	0.0084	4.181	0.0	0.0	0.0	0.0	1.0
4.2741	0.013	0.452	0.79	0.44	0.8100000023841858	0.03	1.0
0.48865000000000003	0.0084	1.085	0.0	0.0	0.0	0.0	1.0
0.7348	0.016	0.965	0.33	0.02	0.5299999713897705	0.018	1.0
2.6462	0.05	0.051	0.5	0.06	0.1899999976158142	0.0	1.0
5.2436	0.529	1.885	0.69	0.42	0.6899999976158142	0.116	1.0
0.999	0.01	0.207	0.0	0.0	0.0	0.0	1.0
0.4065	0.044	0.006	0.27	0.19	0.23999999463558197	0.044	1.0
2.9705	0.039	1.16	0.67	0.29	0.6499999761581421	0.054	1.0
1.5984	0.063	8.75	0.48	0.02	0.5299999713897705	0.028	1.0
0.1284	0.0097	0.612	0.15	0.0	0.05999999865889549	0.036	1.0
4.1633	0.383	0.511	0.91	0.82	0.6899999976158142	0.358	1.0
0.1905	0.0073	2.284	0.03	0.0	0.5	0.0	1.0
0.1172	0.0085	0.82	0.0	0.0	0.0	0.0	1.0
0.0246	0.009	1.467	0.0	0.03	0.019999999552965164	0.006	1.0
0.8708	0.0084	0.148	0.1	0.01	0.07000000029802322	0.006	1.0
0.9713	0.0077	0.668	0.15	0.0	0.18000000715255737	0.546	1.0
3.6085	0.011	0.81	0.65	0.04	0.20999999344348907	0.0	1.0
0.0943	0.0073	3.758	0.01	0.0	0.0	0.0	1.0
0.1173	0.0084	0.45	0.0	0.0	0.0	0.0	1.0
0.7412	0.01	7.955	0.0	0.42	0.38999998569488525	0.016	1.0
0.5898	0.01	0.194	0.06	0.02	0.0	0.0	1.0
0.4272	0.0084	1.304	0.01	0.0	0.0	0.0	1.0
0.2373	0.286	0.813	0.85	0.8	0.6700000166893005	0.258	1.0
0.3265	0.01	0.467	0.02	0.0	0.0	0.0	1.0
0.5604	0.0063	7.955	0.0	0.0	0.0	0.002	1.0
0.1451	0.0072	2.134	0.0	0.0	0.0	0.0	1.0
0.1678	0.006	1.53	0.0	0.0	0.0	0.002	1.0
0.9573	0.015	0.973	0.0	0.0	0.0	0.0	1.0
0.48865000000000003	0.0084	4.007	0.06	0.04	0.03	0.0	1.0
0.3776	0.0084	0.461	0.0	0.0	0.0	0.0	1.0
0.3104	0.012	1.079	0.0	0.0	0.029999999329447746	0.0	1.0
1.6618	0.012	0.63	0.99	1.0	0.8199999928474426	0.004	1.0
0.1015	0.011	1.22	0.01	0.0	0.0	0.0	1.0
0.48865000000000003	0.0084	4.706	0.0	0.0	0.0	0.0	1.0
1.1776	0.0084	0.247	0.0	0.0	0.0	0.0	1.0
3.3526	0.0085	8.75	0.6	0.05	0.6200000047683716	0.108	1.0
0.48865000000000003	0.0084	0.0	0.0	0.0	0.0	0.0	1.0
0.213	0.013	0.191	0.02	0.0	0.019999999552965164	0.0	1.0
3.1439	0.011	2.156	0.6	0.6	0.6800000071525574	0.008	1.0
0.3503	0.0084	0.338	0.0	0.0	0.0	0.0	1.0
2.4743	0.0086	1.929	0.0	0.0	0.019999999552965164	0.0	1.0
0.0169	0.0061	0.903	0.0	0.0	0.0	0.0	1.0
0.2974	0.006	0.852	0.0	0.0	0.0	0.0	1.0
0.5931	0.0094	8.367	0.59	0.12	0.4300000071525574	0.0	1.0
0.1668	0.105	0.782	0.43	0.32	0.5600000023841858	0.054	1.0
0.2664	0.01	0.199	0.0	0.0	0.0	0.0	1.0
0.1108	0.127	8.75	0.61	0.37	0.3799999952316284	0.006	1.0
1.0058	0.0073	1.069	0.0	0.0	0.0	0.0	1.0
4.2276	1.0	8.064	0.89	0.94	0.8100000023841858	0.056	1.0
4.6983	0.012	8.75	0.82	0.84	0.8199999928474426	0.02	1.0
4.7182	0.015	8.75	0.95	0.48	0.800000011920929	0.004	1.0
0.1119	0.014	8.367	0.95	0.88	0.8600000143051147	0.096	1.0
3.1081	0.356	2.632	0.7	0.1	0.5099999904632568	0.784	1.0
2.2806	0.0064	3.96	0.31	0.11	0.4399999976158142	0.084	1.0
4.6417	0.009	7.955	0.86	0.17	0.7099999785423279	0.566	1.0
3.4949	0.088	1.735	0.81	0.01	0.5600000023841858	0.692	1.0
4.5644	0.155	1.152	0.73	0.23	0.6299999952316284	0.176	1.0
